order,family,genus,species,authority,collector,collection #,Organ,Stem Diameter cm,Height m,VDRAW-Vessel diameter micrometers,VDFinal-Vessel diameter interpreted,VG-vessels/group RAW,VG curated,VMM-Vessel density mmper2 RAW,VMM-FINAL,raw VEL-Vessel element Length micrometers,final VEL-Vessel element Length micrometers,VWTRAW-Vessel wall thickness draw micrometers,VWTFINAL-Vessel wall thickness draw micrometers,RAW.BAR#-perforation plate bar ,FINAL.BAR#-perforation plate bar ,Number perforations per plate,RAW.simple.scalariform,FINAL.simple.scalariform,FINAL.scalariform.not,vessels present/absent,raw V-V-vessel-vessel (intervascular) pit diam micrometers,final V-V-vessel-vessel (intervascular) pit diam micrometers,"ITEDRAW: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam","ITEDFINAL: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam",ITELRAW: ITE cell length-RAW micrometers,"ITELFINAL: ITE cell length-curated, micrometers",ITEWTRAW: ITE wall thick-DRAW micrometers,ITEWTFINAL: wall thick final micrometers,ITE type RAW,ITE.Final,# septum/fiber,AP/strand-Axial Parenchyma cells/strand,MRH-Multiseriate Ray Height.mm,MRW-multseriate Ray width cell#,URH-Uniseriate Ray Ht.mm,self/ non,DWT- Double wall thickness (um),quien,cite,id1,id2,,,,,,vwt/vd,dwt/vd
Gnetales,Gnetaceae,Gnetum,venosum,Spruce ex Benth.,SJRw,40738,stem,,,221,221,mostly solitary,1,7.6,,1498,1498,9.2,9.2,0,0,1,simple,simple,simple,present,12,12,,,1798,1798,4.7,4.7,tracheids,tracheids,,,,,,non,13.9,Beto,"Carlquist, S. (1996). Wood and bark anatomy of lianoid Indomalesian and Asiatic species of Gnetum. Botanical Journal of the Linnean Society, 121(1), 1-24.",Gnetum_venosum_SJRw_40738_stem,Gnetales_Gnetaceae_Gnetum_venosum_Spruce ex Benth._SJRw_40738_stem,,,,,,0.04,0.06
Caryophyllales,Portulacaceae,Talinella,boiviniana,Baill.,SJRw,44451,stem,,,63,63,1.8,1.8,41,,232,232,2.2,2.2,0,0,1,simple,simple,simple,present,12,12,,,744,744,2.4,2.4,libriform,libriform,,2,1.893,,,self,4.6,Beto,"Carlquist, S. (1998). Wood anatomy of Portulacaceae and Hectorellaceae: ecological, habital, and systematic implications. Aliso: A Journal of Systematic and Evolutionary Botany, 16(2), 137-153.",Talinella_boiviniana_SJRw_44451_stem,Caryophyllales_Portulacaceae_Talinella_boiviniana_Baill._SJRw_44451_stem,,,,,,0.03,0.07
Asterales,Campanulaceae,Clermontia,montis-loa,Rock,Carlquist,606,stem,,,100,100,2.4,2.4,,,501,501,,,0,0,1,simple,simple,simple,present,12,12,40,40,711,711,5,5,libriform,libriform,present,2,3,7.2,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Clermontia_montis-loa_Carlquist_606_stem,Asterales_Campanulaceae_Clermontia_montis-loa_Rock_Carlquist_606_stem,,,,,,0.00,0.00
Asterales,Campanulaceae,Clermontia,montis-loa,Rock,Carlquist,608,stem,,,65,65,1.5,1.5,,,507,507,,,0,0,1,simple,simple,simple,present,12,12,33,33,721,721,5,5,libriform,libriform,present,2,12.7,9.1,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Clermontia_montis-loa_Carlquist_608_stem,Asterales_Campanulaceae_Clermontia_montis-loa_Rock_Carlquist_608_stem,,,,,,0.00,0.00
Asterales,Campanulaceae,Cyanea,aculeatiflora,Rock,Carlquist,571,stem,,,84,84,1.9,1.9,,,401,401,,,0,0,1,simple,simple,simple,present,12,12,38,38,883,883,4,4,libriform,libriform,present,2,>10,11.1,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Cyanea_aculeatiflora_Carlquist_571_stem,Asterales_Campanulaceae_Cyanea_aculeatiflora_Rock_Carlquist_571_stem,,,,,,0.00,0.00
Asterales,Campanulaceae,Cyanea,humboldtiana,"(Gaudich.) Lammers, Givnish & Sytsma",Carlquist,1630,stem,,,69,69,3.6,3.6,,,677,677,,,0,0,1,simple,simple,simple,present,12,12,36,36,972,972,6,6,libriform,libriform,present,2,>5,10.6,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Cyanea_humboldtiana_Carlquist_1630_stem,"Asterales_Campanulaceae_Cyanea_humboldtiana_(Gaudich.) Lammers, Givnish & Sytsma_Carlquist_1630_stem",,,,,,0.00,0.00
Asterales,Campanulaceae,Lobelia,gibberroa,Hemsl.,Strybing Arboretum,s.n.,stem,,,62,62,2.3,2.3,,,612,612,,,0,0,1,simple,simple,simple,present,12,12,33,33,803,803,3,3,libriform,libriform,present,2,3.1,4,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Lobelia_gibberroa_Strybing Arboretum_s.n._stem,Asterales_Campanulaceae_Lobelia_gibberroa_Hemsl._Strybing Arboretum_s.n._stem,,,,,,0.00,0.00
Myrtales,Onagraceae,Ludwigia,anastomosans,(DC.) H.Hara,Zardini & Gentry,2175,branch,1.5,,109,109,1.24,1.24,51,,458,458,2.5,2.5,0,0,1,simple,simple,simple,present,12,12,28,28,588,588,2.3,2.3,libriform,libriform,,,2.707,3.95,0.349,self,4.8,Emilio,"Carlquist, S. (1987). Wood anatomy of noteworthy species of Ludwigia (Onagraceae) with relation to ecology and systematics. Annals of the Missouri Botanical Garden, 889-896.",Ludwigia_anastomosans_Zardini & Gentry_2175_branch,Myrtales_Onagraceae_Ludwigia_anastomosans_(DC.) H.Hara_Zardini & Gentry_2175_branch,,,,,,0.02,0.04
Solanales,Solanaceae,Brugmansia,sanguinea,(Ruíz & Pav.) D.Don,cult.,UCBBG,,,,99,99,1.8,1.8,30,,369,369,2,2,0,0,1,simple,simple,simple,present,12,12,13,13,724,724,2.5,2.5,fiber tracheids,fiber tracheids,,1-5.0,0.917,,0.17,self,4.5,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Brugmansia_sanguinea_cult._UCBBG_,Solanales_Solanaceae_Brugmansia_sanguinea_(RuÃ­z & Pav.) D.Don_cult._UCBBG_,,,,,,0.02,0.05
Solanales,Solanaceae,Brugmansia,suaveolens,(Humb. & Bonpl. ex Willd.),USw,6030,,,,121,121,1.6,1.6,13,,321,321,1.3,1.3,0,0,1,simple,simple,simple,present,12,12,27,27,351,351,1.5,1.5,fiber tracheids,fiber tracheids,,1-5.0,0.936,,0.132,self,2.8,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Brugmansia_suaveolens_USw_6030_,Solanales_Solanaceae_Brugmansia_suaveolens_(Humb. & Bonpl. ex Willd.)_USw_6030_,,,,,,0.01,0.02
Solanales,Solanaceae,Brugmansia,suaveolens,(Humb. & Bonpl. ex Willd.),cult.,"Vavra Estate, UCLA",,,,81,81,1.5,1.5,20,,389,389,2.9,2.9,0,0,1,simple,simple,simple,present,12,12,30,30,403,403,2.6,2.6,fiber tracheids,fiber tracheids,,1-5.0,0.882,,0.283,self,5.5,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.","Brugmansia_suaveolens_cult._Vavra Estate, UCLA_","Solanales_Solanaceae_Brugmansia_suaveolens_(Humb. & Bonpl. ex Willd.)_cult._Vavra Estate, UCLA_",,,,,,0.04,0.07
Solanales,Solanaceae,Solandra,guttata,D. Don,cult.,"Vavra Estate, UCLA",,,,120,120,4.6,4.6,12,,264,264,2.5,2.5,0,0,1,simple,simple,simple,present,12,12,15,15,606,606,2.9,2.9,fiber tracheids,fiber tracheids,,1-5.0,0.463,,0.255,non,5.4,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.","Solandra_guttata_cult._Vavra Estate, UCLA_","Solanales_Solanaceae_Solandra_guttata_D. Don_cult._Vavra Estate, UCLA_",,,,,,0.02,0.05
Solanales,Solanaceae,Solanum,gayanum,Dunal,USw,8466,,,,81,81,1.9,1.9,80,,321,321,1.8,1.8,0,0,1,simple,simple,simple,present,12,12,18,18,700,700,2.5,2.5,fiber tracheids,fiber tracheids,,1-5.0,0.662,,0.132,self,4.3,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.","Solanum_gayanum_USw-8466, Chile_8466_","Solanales_Solanaceae_Solanum_gayanum_Dunal_USw-8466, Chile_8466_",,,,,,0.02,0.05
Solanales,Solanaceae,Solanum,grandiflorum,Ruíz & Pav.,Carlquist,7388,,,,161,161,1.2,1.2,8,,495,495,2.8,2.8,0,0,1,simple,simple,simple,present,12,12,30,30,1130,1130,1.8,1.8,fiber tracheids,fiber tracheids,,1-5.0,0.248,,0.068,self,4.6,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Solanum_grandiflorum_Carlquist_7388_,Solanales_Solanaceae_Solanum_grandiflorum_RuÃ­z & Pav._Carlquist_7388_,,,,,,0.02,0.03
Solanales,Solanaceae,Solanum,grandiflorum,Ruíz & Pav.,Carlquist,7143,,,,177,177,1.4,1.4,11,,477,477,4.3,4.3,0,0,1,simple,simple,simple,present,12,12,28,28,1210,1210,2,2,fiber tracheids,fiber tracheids,,1-5.0,0.312,,0.119,self,6.3,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Solanum_grandiflorum_Carlquist_7143_,Solanales_Solanaceae_Solanum_grandiflorum_RuÃ­z & Pav._Carlquist_7143_,,,,,,0.02,0.04
Solanales,Solanaceae,Solanum,hayesii,Fernald,Nee & Mon,3667,,,,99,99,2.5,2.5,14,,344,344,3.2,3.2,0,0,1,simple,simple,simple,present,12,12,25,25,733,733,2.2,2.2,fiber tracheids,fiber tracheids,,1-5.0,0.224,,0.144,self,5.4,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Solanum_hayesii_Nee & Mon_3667_,Solanales_Solanaceae_Solanum_hayesii_Fernald_Nee & Mon_3667_,,,,,,0.03,0.05
Solanales,Convolvulaceae,Argyreia,obtusifolia,Lour.,Liang,63095,stem,,,88,88,1.82,1.82,20,,200,200,1.5,1.5,0,0,1,simple,simple,simple,present,12,12,,,781,781,2.1,2.1,fiber tracheids,fiber tracheids,,,0.696,2.1,0.753,non,3.6,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Argyreia_obtusifolia_Liang_63095_stem,Solanales_Convolvulaceae_Argyreia_obtusifolia_Lour._Liang_63095_stem,,,,,,0.02,0.04
Solanales,Convolvulaceae,Bonamia,maripoides,H. Hallier,SJRw,55483,stem,,,280,280,1.36,1.36,27,,426,426,11.3,11.3,0,0,1,simple,simple,simple,present,12,12,,,684,684,4.6,4.6,fiber tracheids,fiber tracheids,,,0.347,2.2,0.282,non,15.9,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Bonamia_maripoides_SJRw_55483_stem,Solanales_Convolvulaceae_Bonamia_maripoides_H. Hallier_SJRw_55483_stem,,,,,,0.04,0.06
Solanales,Convolvulaceae,Erycibe,coccinea,Hoogland,SFCw,R-1229-2,stem,,,213,213,1.2,1.2,16,,514,514,6.8,6.8,0,0,1,simple,simple,simple,present,12,12,,,930,930,4.9,4.9,fiber tracheids,fiber tracheids,,,,2,0.528,non,11.7,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Ericybe_coccinea_SFCw_R-1229-2_stem,Solanales_Convolvulaceae_Ericybe_coccinea_(F. M. Bailey) Hoog._SFCw_R-1229-2_stem,,,,,,0.03,0.05
Solanales,Convolvulaceae,Quamoclit,bracteata,(Cav.) Roberty,Carlquist,8024,small stem,,,184,184,1.24,1.24,17,,254,254,4.3,4.3,0,0,1,simple,simple,simple,present,12,12,,,835,835,4,4,fiber tracheids,fiber tracheids,,,,2,0.498,non,8.3,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Exogonium_bracteatum_Carlquist_8024S_stem,Solanales_Convolvulaceae_Exogonium_bracteatum_(Cav.) Choisy_Carlquist_8024S_stem,,,,,,0.02,0.05
Solanales,Convolvulaceae,Quamoclit,bracteata,(Cav.) Roberty,Carlquist,8005,stem,,,190,190,1.28,1.28,14,,226,226,6.1,6.1,0,0,1,simple,simple,simple,present,12,12,,,794,794,3.8,3.8,fiber tracheids,fiber tracheids,,,,2,0.315,non,9.9,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Exogonium_bracteatum_Carlquist_8005_stem,Solanales_Convolvulaceae_Exogonium_bracteatum_(Cav.) Choisy_Carlquist_8005_stem,,,,,,0.03,0.05
Solanales,Convolvulaceae,Quamoclit,bracteata,(Cav.) Roberty,Carlquist,8024,large stem,,,229,229,1.28,1.28,21,,222,222,5.3,5.3,0,0,1,simple,simple,simple,present,12,12,,,833,833,5.3,5.3,fiber tracheids,fiber tracheids,,,,2,0.297,non,10.6,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Exogonium_bracteatum_Carlquist_8024L_stem,Solanales_Convolvulaceae_Exogonium_bracteatum_(Cav.) Choisy_Carlquist_8024L_stem,,,,,,0.02,0.05
Solanales,Convolvulaceae,Quamoclit,bracteata,(Cav.) Roberty,Henrickson,1093,stem,,,196,196,1.16,1.16,41,,194,194,6.2,6.2,0,0,1,simple,simple,simple,present,12,12,,,793,793,6.2,6.2,fiber tracheids,fiber tracheids,,,,,0.386,non,12.4,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Exogonium_bracteatum_Henrickson_1093_stem,Solanales_Convolvulaceae_Exogonium_bracteatum_(Cav.) Choisy_Henrickson_1093_stem,,,,,,0.03,0.06
Solanales,Convolvulaceae,Ipomoea,arborescens,(Humb. & Bonpl. ex Willd.) G. Don,Dorado,624-7,stem,,,137,137,1.16,1.16,10,,199,199,4.3,4.3,0,0,1,simple,simple,simple,present,12,12,,,829,829,3.5,3.5,fiber tracheids,fiber tracheids,,,0.732,2.9,0.357,self,7.8,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Ipomoea_arborescens_var_arborescens_Dorado_624-7_stem,Solanales_Convolvulaceae_Ipomoea_arborescens_var_arborescens_(H.&B.) Don_Dorado_624-7_stem,,,,,,0.03,0.06
Solanales,Convolvulaceae,Ipomoea,murucoides,Roem. & Schult.,Iltis,816,stem,,,147,147,1.2,1.2,3,,150,150,5.8,5.8,0,0,1,simple,simple,simple,present,12,12,,,889,889,2.5,2.5,fiber tracheids,fiber tracheids,,,,,,self,8.3,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Ipomoea_murucoides_Iltis_816_stem,Solanales_Convolvulaceae_Ipomoea_murucoides_Roem. & Schult._Iltis_816_stem,,,,,,0.04,0.06
Solanales,Convolvulaceae,Ipomoea,murucoides,Roem. & Schult.,SJRw,53328,stem,,,153,153,1.3,1.3,14,,172,172,5.8,5.8,0,0,1,simple,simple,simple,present,12,12,,,967,967,2.5,2.5,fiber tracheids,fiber tracheids,,,0.931,7.4,0.254,self,8.3,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Ipomoea_murucoides_SJRw_53328_stem,Solanales_Convolvulaceae_Ipomoea_murucoides_Roem. & Schult._SJRw_53328_stem,,,,,,0.04,0.05
Solanales,Convolvulaceae,Maripa,janusiana,D. Austin,MADw,38476,stem,,,226,226,1.12,1.12,14,,332,332,6.5,6.5,0,0,1,simple,simple,simple,present,12,12,,,824,824,4.4,4.4,fiber tracheids,fiber tracheids,,,0.711,,0.28,non,10.9,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Maripa_janusiana_MADw_38476_stem,Solanales_Convolvulaceae_Maripa_janusiana_D. Austin_MADw_38476_stem,,,,,,0.03,0.05
Solanales,Convolvulaceae,Merremia,nymphaeifolia,H. Hallier,SJRw,37593,stem,,,396,396,1.04,1.04,15,no hay error de captura,136,136,7.2,7.2,0,0,1,simple,simple,simple,present,12,12,,,1340,1340,2.5,2.5,fiber tracheids,fiber tracheids,,,,,,non,9.7,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Merremia_nymphaeifolia_SJRw_37593_stem,Solanales_Convolvulaceae_Merremia_nymphaeifolia_H. Hallier_SJRw_37593_stem,,,,,,0.02,0.02
Solanales,Convolvulaceae,Maripa,violacea,(Aubl.) Ooststr. ex Lanj. & Uittien,SJRw,32646,stem,,,334,334,1.04,1.04,10,,462,462,7.3,7.3,0,0,1,simple,simple,simple,present,12,12,,,980,980,5,5,fiber tracheids,fiber tracheids,,,0.667,2.6,0.241,non,12.3,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Operculina_passifloroides_SJRw_32646_stem,Solanales_Convolvulaceae_Operculina_passifloroides_(Benth.) Ducke_SJRw_32646_stem,,,,,,0.02,0.04
Solanales,Convolvulaceae,Turbina,stenosiphon,(H. Hall.) A. Meeuse,LASCA,80-5-56,stem,,,164,164,1.12,1.12,12,,222,222,4.8,4.8,0,0,1,simple,simple,simple,present,12,12,,,676,676,2.6,2.6,fiber tracheids,fiber tracheids,,,1.571,3.2,0.457,self,7.4,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Turbina_stenosiphon_LASCA_80-5-56_stem,Solanales_Convolvulaceae_Turbina_stenosiphon_(H. Hall.) A. Meeuse_LASCA_80-5-56_stem,,,,,,0.03,0.05
Caryophyllales,Basellaceae,Anredera,baselloides,(Ten.) Steenis,UCRBG,s.n.,upper stem,2,,31,31,>15,15,251,,221,221,2.2-7.2,4.7,0,0,1,simple,simple,simple,present,12,12,,,405,405,2.8,2.8,libriform,libriform,,,>0.5,7.8,,non,7.5,Beto,"Carlquist, S. (1999). Wood, stem, and root anatomy of Basellaceae with relation to habit, systematics, and cambial variants. Flora, 194(1), 1-12.",Anredera_baselloides_UCRBG_s.n._upper stem,Caryophyllales_Basellaceae_Anredera_baselloides_(Ten.) Steenis_UCRBG_s.n._upper stem,,,,,,0.15,0.24
Caryophyllales,Basellaceae,Anredera,baselloides,(Ten.) Steenis,UCRBG,s.n.,root,,,36,36,>15,15,301,,206,206,ranging from 2.6 um (narrower vessels) to 7.5 um (wider vessels).,5.05,0,0,1,simple,simple,simple,present,12,12,,,500,500,5,5,libriform,libriform,,,,,,non,10.05,Beto,"Carlquist, S. (1999). Wood, stem, and root anatomy of Basellaceae with relation to habit, systematics, and cambial variants. Flora, 194(1), 1-12.",Anredera_baselloides_UCRBG_s.n._root,Caryophyllales_Basellaceae_Anredera_baselloides_(Ten.) Steenis_UCRBG_s.n._root,,,,,,0.14,0.28
Caryophyllales,Basellaceae,Anredera,baselloides,(Ten.) Steenis,UCRBG,s.n.,root-stem transition,,,38,38,>15,15,,,184,184,,,0,0,1,simple,simple,simple,present,12,12,,,451,451,2.8,2.8,libriform,libriform,,1--2,>0.5,7.8,,non,,Beto,"Carlquist, S. (1999). Wood, stem, and root anatomy of Basellaceae with relation to habit, systematics, and cambial variants. Flora, 194(1), 1-12.",Anredera_baselloides_UCRBG_s.n._root-stem transition,Caryophyllales_Basellaceae_Anredera_baselloides_(Ten.) Steenis_UCRBG_s.n._root-stem transition,,,,,,0.00,0.00
Asterales,Campanulaceae,Cyanea,koolauensis,"Lammers, Givnish & Sytsma",Carlquist,1750,stem,,,56,56,1.7,1.7,,,480,480,,,0,0,1,simple,simple,simple,present,13,13,37,37,861,861,4,4,libriform,libriform,present,2,>5,9.4,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Cyanea_koolauensis_Carlquist_1750_stem,"Asterales_Campanulaceae_Cyanea_koolauensis_Lammers, Givnish & Sytsma_Carlquist_1750_stem",,,,,,0.00,0.00
Asterales,Campanulaceae,Delissea,undulata,Gaudich.,Carlquist,2250,stem,,,51,51,2.1,2.1,,,471,471,,,0,0,1,simple,simple,simple,present,13,13,34,34,766,766,3,3,libriform,libriform,present,2,2.7,6,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Delissea_undulata_Carlquist_2250_stem,Asterales_Campanulaceae_Delissea_undulata_Gaudich._Carlquist_2250_stem,,,,,,0.00,0.00
Gnetales,Gnetaceae,Gnetum,leyboldii,Tul.,McPherson,11003,stem,,,118,118,mostly solitary,1,6.8,,891,891,4.8,4.8,0,0,1,simple,simple,simple,present,14,14,,,1051,1051,2.4,2.4,tracheids and fiber tracheids,tracheids,,6,,,,non,7.2,Beto,"Carlquist, S. (1996). Wood and bark anatomy of lianoid Indomalesian and Asiatic species of Gnetum. Botanical Journal of the Linnean Society, 121(1), 1-24.",Gnetum_leyboldii_McPherson_11003_stem,Gnetales_Gnetaceae_Gnetum_leyboldii_Tul._McPherson_11003_stem,,,,,,0.04,0.06
Gnetales,Gnetaceae,Gnetum,leyboldii,Tul.,Stevenson,985,stem,,,67,67,mostly solitary,1,8,,877,877,3.2,3.2,0,0,1,simple,simple,simple,present,14,14,,,1150,1150,4.5,4.5,tracheids and fiber tracheids,tracheids,,,,,,non,7.7,Beto,"Carlquist, S. (1996). Wood and bark anatomy of lianoid Indomalesian and Asiatic species of Gnetum. Botanical Journal of the Linnean Society, 121(1), 1-24.",Gnetum_leyboldii_Stevenson_985_stem,Gnetales_Gnetaceae_Gnetum_leyboldii_Tul._Stevenson_985_stem,,,,,,0.05,0.11
Gnetales,Gnetaceae,Gnetum,leyboldii,Tul.,Davidson,5261,stem,,,172,172,mostly solitary,1,9.6,,764,764,3.5,3.5,0,0,1,simple,simple,simple,present,14,14,,,866,866,4.6,4.6,tracheids and fiber tracheids,tracheids,,>10,,,,non,8.1,Beto,"Carlquist, S. (1996). Wood and bark anatomy of lianoid Indomalesian and Asiatic species of Gnetum. Botanical Journal of the Linnean Society, 121(1), 1-24.",Gnetum_leyboldii_Davidson_5261_stem,Gnetales_Gnetaceae_Gnetum_leyboldii_Tul._Davidson_5261_stem,,,,,,0.02,0.05
Gnetales,Gnetaceae,Gnetum,nodiflorum,Brongn.,SJRw,53632 segment 2,stem,,,140,140,mostly solitary,1,3.2,,1092,1092,3,3,0,0,1,simple and foraminate,simple and foraminate,simple,present,14,14,,,1149,1149,5,5,tracheids and fiber tracheids,tracheids,,>10,,,,non,8,Beto,"Carlquist, S. (1996). Wood and bark anatomy of lianoid Indomalesian and Asiatic species of Gnetum. Botanical Journal of the Linnean Society, 121(1), 1-24.",Gnetum_nodiflorum_SJRw_53632 segment 2_stem,Gnetales_Gnetaceae_Gnetum_nodiflorum_Brongn._SJRw_53632 segment 2_stem,,,,,,0.02,0.06
Gnetales,Gnetaceae,Gnetum,nodiflorum,Brongn.,SJRw,35549,stem,,,135,135,mostly solitary,1,4.8,,875,875,9.2,9.2,0,0,1,simple and foraminate,simple and foraminate,simple,present,14,14,,,1274,1274,4.6,4.6,tracheids and fiber tracheids,tracheids,,>10,,,,non,13.8,Beto,"Carlquist, S. (1996). Wood and bark anatomy of lianoid Indomalesian and Asiatic species of Gnetum. Botanical Journal of the Linnean Society, 121(1), 1-24.",Gnetum_nodiflorum_SJRw_35549_stem,Gnetales_Gnetaceae_Gnetum_nodiflorum_Brongn._SJRw_35549_stem,,,,,,0.07,0.10
Asterales,Campanulaceae,Cyanea,marksii,Rock,Carlquist,593,stem,,,63,63,1.7,1.7,,,481,481,,,0,0,1,simple,simple,simple,present,14,14,38,38,1006,1006,2,2,libriform,libriform,present,2,3.3,7.9,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Cyanea_marksii_Carlquist_593_stem,Asterales_Campanulaceae_Cyanea_marksii_Rock_Carlquist_593_stem,,,,,,0.00,0.00
Canellales,Winteraceae,Exospermum,stipitatum,(Baill.) Tiegh.,Carlquist,15590,stem,6.21,,,,,,,,,,,,,,,absent,absent,absent,absent,14,14,51,51,5758,5758,4,4,tracheids,tracheids,absent,1.0-2.0,6.812,6.8,,self,,Víctor,"Carlquist, S. (1982) Exospermum stipitatum (Winteraceae): observations on wood, leaves, flowers, pollen, and fruit. Aliso 10:277-289.",Exospermum_stipitatum_Carlquist_15590_stem,Canellales_Winteraceae_Exospermum_stipitatum_(Baill.) Tiegh._Carlquist_15590_stem,,,,,,#DIV/0!,#DIV/0!
Solanales,Convolvulaceae,Maripa,panamensis,Hemsl.,SJRw,54959,stem,,,283,283,1.12,1.12,12,,395,395,6.2,6.2,0,0,1,simple,simple,simple,present,14,14,,,843,843,2.3,2.3,fiber tracheids,fiber tracheids,,,0.701,3.3,0.28,non,8.5,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Maripa_panamensis_SJRw_54959_stem,Solanales_Convolvulaceae_Maripa_panamensis_Hemsl._SJRw_54959_stem,,,,,,0.02,0.03
Solanales,Convolvulaceae,Merremia,peltata,(L.) Merrill,MADw,41005,stem,,,461,461,1.08,1.08,10,,150,150,7.3,7.3,0,0,1,simple,simple,simple,present,14,14,,,716,716,5,5,fiber tracheids,fiber tracheids,,,0.949,3.9,0.264,non,12.3,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Merremia_peltata_MADw_41005_stem,Solanales_Convolvulaceae_Merremia_peltata_(L.) Merrill_MADw_41005_stem,,,,,,0.02,0.03
Solanales,Convolvulaceae,Operculina,palmeri,(Wats.) Howe,Carlquist,8022,small stem,,,223,223,1.04,1.04,29,,219,219,7,7,0,0,1,simple,simple,simple,present,14,14,,,717,717,4.8,4.8,fiber tracheids,fiber tracheids,,,0.577,2,0.478,non,11.8,Víctor,"Carlquist, S., & Hanson, M. A. (1991). Wood and stem anatomy of Convolvulaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 13(1), 51-94.",Operculina_palmeri_Carlquist_8022S_stem,Solanales_Convolvulaceae_Operculina_palmeri_(Wats.) Howe_Carlquist_8022S_stem,,,,,,0.03,0.05
