order,family,genus,species,authority,collector,collection #,Organ,Stem Diameter cm,Height m,VDRAW-Vessel diameter micrometers,VDFinal-Vessel diameter interpreted,VG-vessels/group RAW,VG curated,VMM-Vessel density mmper2 RAW,VMM-FINAL,raw VEL-Vessel element Length micrometers,final VEL-Vessel element Length micrometers,VWTRAW-Vessel wall thickness draw micrometers,VWTFINAL-Vessel wall thickness draw micrometers,RAW.BAR#-perforation plate bar ,FINAL.BAR#-perforation plate bar ,Number perforations per plate,RAW.simple.scalariform,FINAL.simple.scalariform,FINAL.scalariform.not,vessels present/absent,raw V-V-vessel-vessel (intervascular) pit diam micrometers,final V-V-vessel-vessel (intervascular) pit diam micrometers,"ITEDRAW: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam","ITEDFINAL: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam",ITELRAW: ITE cell length-RAW micrometers,"ITELFINAL: ITE cell length-curated, micrometers",ITEWTRAW: ITE wall thick-DRAW micrometers,ITEWTFINAL: wall thick final micrometers,ITE type RAW,ITE.Final,# septum/fiber,AP/strand-Axial Parenchyma cells/strand,MRH-Multiseriate Ray Height.mm,MRW-multseriate Ray width cell#,URH-Uniseriate Ray Ht.mm,self/ non,DWT- Double wall thickness (um),quien,cite,id1,id2,,,,,,vwt/vd,dwt/vd
Lamiales,Stilbaceae,Retzia,capensis,Thunb.,Carlquist,4514,stem,,,31.3,31.3,1.93,1.93,215,,556,556,2.4,2.4,0,0,1,simple,simple,simple,present,2.3,2.3,27.5,27.5,887,887,6.9,6.9,fiber tracheids,fiber tracheids,,2,1,2.08,0.421,self,9.3,Víctor,"Carlquist, S. (1986). Wood anatomy of Stilbaceae and Retziaceae: ecological and systematic implications. Aliso: A Journal of Systematic and Evolutionary Botany, 11(3), 299-316.",Retzia_capensis_Carlquist_4514_stem,Lamiales_Stilbaceae_Retzia_capensis_Thunb._Carlquist_4514_stem,,,,,,0.08,0.30
Lamiales,Stilbaceae,Stilbe,rupestris,Compton,Esterhuysen,35658,stem,,,28.4,28.4,,,294,,349,349,2.1,2.1,0,0,1,simple,simple,simple,present,2.3,2.3,23,23,534,534,2.8,2.8,libriform ,libriform,,2,,,0.728,self,4.9,Víctor,"Carlquist, S. (1986). Wood anatomy of Stilbaceae and Retziaceae: ecological and systematic implications. Aliso: A Journal of Systematic and Evolutionary Botany, 11(3), 299-316.",Stilbe_rupestris_Esterhuysen_35658_stem,Lamiales_Stilbaceae_Stilbe_rupestris_Compton_Esterhuysen_35658_stem,,,,,,0.07,0.17
Solanales,Solanaceae,Nolana,rostrata_carnosa,(Lindl.) Mesa,Johnston,5047,stem,,,26,26,1.9,1.9,362,,153,153,2.5,2.5,0,0,1,simple,simple,simple,present,2.4,2.4,11.5,11.5,338,338,2.6,2.6,fiber tracheids,fiber tracheids,,2,,,0.191,self,5.1,Víctor,"Carlquist, S. (1987). Wood anatomy of Nolanaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 11(4), 463-471.",Nolana_rostrata_carnosa_Johnston_5047_stem,Solanales_Solanaceae_Nolana_rostrata_carnosa_(Lindl.) Mesa_Johnston_5047_stem,,,,,,0.10,0.20
Lamiales,Stilbaceae,Stilbe,ericoides,(L.) L.,Martin,722,stem,,,24.8,24.8,,,474,,382,382,2.4,2.4,0,0,1,simple,simple,simple,present,2.4,2.4,21,21,514,514,5.4,5.4,libriform ,libriform,,,0.565,3.1,0.408,self,7.8,Víctor,"Carlquist, S. (1986). Wood anatomy of Stilbaceae and Retziaceae: ecological and systematic implications. Aliso: A Journal of Systematic and Evolutionary Botany, 11(3), 299-316.",Stilbe_ericoides_Martin_722_stem,Lamiales_Stilbaceae_Stilbe_ericoides_(L.) L._Martin_722_stem,,,,,,0.10,0.31
Lamiales,Stilbaceae,Stilbe,serrulata,Hochst.,Stokoe,1029,stem,,,38.8,38.8,,,119,,439,439,4.14,4.14,figure not given in paper; counted from figures,6.5,7.5,"Perforation plates exclusively scalariform in material studied (Fig. 5, 6), the bars always bordered. Perforation plates mostly deviate from an ideal scalariform configuration at least to some degree",scalariform,scalariform,present,2.4,2.4,34.5,34.5,589,589,4.14,4.14,fiber tracheids,fiber tracheids,,2,0.8,3.3,0.068,self,8.28,Víctor,"Carlquist, S. (1986). Wood anatomy of Stilbaceae and Retziaceae: ecological and systematic implications. Aliso: A Journal of Systematic and Evolutionary Botany, 11(3), 299-316.",Stilbe_serrulata_Stokoe_1029_stem,Lamiales_Stilbaceae_Stilbe_serrulata_Hochst._Stokoe_1029_stem,,,,,,0.11,0.21
Cornales,Cornaceae,Kaliphora,madagascarensis,Hook. f.,Fosberg,52604,upper_stem,,,37,37,1.55,1.55,133,,310,310,2.5,2.5,0,0,1,simple,simple,simple,present,2.5,2.5,22,22,486,486,3,3,libriform,libriform,,2,0.443,2.1,0.196,self,5.5,Emilio,"Carlquist, S. (1989). Wood anatomy and relationships of Montinia. Aliso: A Journal of Systematic and Evolutionary Botany, 12(2), 369-378.",Kaliphora_madagascarensis_Fosberg_52604_upper_stem,Cornales_Cornaceae_Kaliphora_madagascarensis_Hook. f._Fosberg_52604_upper_stem,,,,,,0.07,0.15
Caryophyllales,Plumbaginaceae,Aegialitis,annulata,R. Br.,Carlquist,15207,stem,,,19,19,2.6,2.6,169,,123,123,3.1,3.1,0,0,1,simple,simple,simple,present,2.5,2.5,,,399,399,4.2,4.2,libriform,libriform,,1,-,-,,self,7.3,Emilio,"Carlquist, S., & Boggs, C. J. (1996). Wood anatomy of Plumbaginaceae. Bulletin of the Torrey Botanical Club, 135-147.",Aegialitis_annulata_Carlquist_15207_stem,Caryophyllales_Plumbaginaceae_Aegialitis_annulata_R. Br._Carlquist_15207_stem,,,,,,0.16,0.38
Caryophyllales,Plumbaginaceae,Ceratostigma,griffithii,Clarke,Huntington Botanical Gardens,s.n.,stem,,,18,18,1.6,1.6,563,,113,113,2,2,0,0,1,simple,simple,simple,present,2.5,2.5,,,28; must be 280,280,2,2,libriform,libriform,2-4 septa,1,0.447,3.5,,self,4,Emilio,"Carlquist, S., & Boggs, C. J. (1996). Wood anatomy of Plumbaginaceae. Bulletin of the Torrey Botanical Club, 135-147.",Ceratostigma_griffithii_Huntington Botanical gardens_s.n._stem,Caryophyllales_Plumbaginaceae_Ceratostigma_griffithii_Clarke_Huntington Botanical gardens_s.n._stem,,,,,,0.11,0.22
Lamiales,Gesneriaceae,Peltanthera,floribunda,Benth.,Hammel,19855,stem,,,101,101,1.4,1.4,9,,772,772,2.5,2.5,0,0,1,simple,simple,simple,present,2.5,2.5,,,1509,1509,4.6,4.6,libriform,libriform,,2-5.0,0.926,5.7,0.442,self,7.1,Beto,"Carlquist, S. (1997). Wood anatomy of Buddlejaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 15(1), 41-56.",Peltanthera_floribunda_Hammel_19855_stem,Lamiales_Gesneriaceae_Peltanthera_floribunda_Benth._Hammel_19855_stem,,,,,,0.02,0.07
Lamiales,Stilbaceae,Nuxia,verticillata,Lam.,SJRw,33200,stem,,,45,45,1.1,1.1,19,,445,445,0.9,0.9,0,0,1,simple,simple,simple,present,2.5,2.5,,,918,918,4.6,4.6,libriform,libriform,,2-5.0,0.41,4.9,0.281,self,5.5,Beto,"Carlquist, S. (1997). Wood anatomy of Buddlejaceae. Aliso: A Journal of Systematic and Evolutionary Botany, 15(1), 41-56.",Nuxia_verticillata_SJRw_33200_stem,Lamiales_Stilbaceae_Nuxia_verticillata_Lam._SJRw_33200_stem,,,,,,0.02,0.12
